10	300
20110318_0004	0	378
20110318_0004	0	379
20110318_0024	0	348
20110318_0024	0	352
20110318_0024	0	338
20110318_0024	0	355
20110318_0040	0	344
20110318_0040	0	337
20110318_0040	0	338
20110318_0040	0	346
20110319_0022	0	345
20110319_0022	0	346
20110319_0022	0	341
20110319_0027	0	417
20110319_0027	0	441
20110319_0027	0	426
20110319_0027	0	430
20110319_0037	0	349
20110319_0037	0	352
20110319_0037	0	346
20110319_0087	0	417
20110319_0087	0	401
20110319_0087	0	408
20110319_0091	0	362
20110319_0091	0	359
20110319_0100	0	353
20110319_0100	0	349
20110319_0100	0	356
20110319_0100	0	365
20110319_0100	0	354
20110319_0100	0	344
20110319_0100	0	351
20110319_0122	0	329
20110319_0122	0	320
20110319_0122	0	335
20110319_0176	0	352
20110319_0176	0	341
20110319_0176	0	330
20110319_0177	0	345
20110319_0181	0	384
20110319_0181	0	393
20110319_0189	0	351
20110319_0189	0	360
20110319_0189	0	369
20110319_0190	0	365
20110319_0190	0	344
20110319_0194	0	369
20110319_0194	0	363
20110319_0194	0	348
20110319_0194	0	351
20110319_0207	0	359
20110319_0207	0	368
20110319_0207	0	361
20110319_0218	0	375
20110319_0218	0	374
20110319_0226	0	475
20110319_0226	0	460
20110319_0226	0	465
20110319_0226	0	481
20110319_0227	0	391
20110319_0228	0	332
20110319_0228	0	336
20110320_0008	0	455
20110320_0008	0	453
20110320_0008	0	450
20110320_0008	0	443
20110320_0010	0	341
20110320_0010	0	333
20110320_0027	0	496
20110320_0043	0	390
20110320_0043	0	389
20110320_0043	0	387
20110320_0064	0	452
20110320_0064	0	437
20110320_0065	0	577
20110320_0067	0	496
20110320_0067	0	490
20110320_0067	0	501
20110320_0067	0	507
20110320_0098	0	420
20110320_0098	0	417
20110320_0117	0	479
20110320_0117	0	483
20110320_0134	0	409
20110320_0134	0	403
20110320_0134	0	413
20110320_0134	0	422
20110320_0134	0	406
20110320_0134	0	426
20110320_0135	0	424
20110320_0135	0	430
20110320_0135	0	413
20110320_0138	0	401
20110320_0138	0	409
20110320_0138	0	394
20110320_0156	0	437
20110320_0156	0	445
20110320_0161	0	397
20110320_0161	0	403
20110320_0161	0	408
20110320_0167	0	391
20110320_0169	0	428
20110320_0169	0	442
20110320_0169	0	427
20110320_0169	0	443
20110320_0169	0	440
20110320_0173	0	392
20110320_0173	0	404
20110320_0173	0	408
20110320_0178	0	449
20110320_0178	0	447
20110320_0178	0	455
20110320_0178	0	435
20110320_0178	0	436
20110320_0187	0	441
20110320_0187	0	446
20110320_0194	0	546
20110320_0194	0	531
20110320_0194	0	533
20110422_0033	0	380
20110422_0033	0	385
20110422_0034	0	384
20110422_0034	0	386
20110422_0034	0	397
20110422_0052	0	392
20110422_0052	0	394
20110422_0052	0	378
20110422_0065	0	562
20110422_0065	0	558
20110422_0065	0	555
20110422_0065	0	557
20110422_0065	0	559
20110422_0065	0	547
20110422_0066	0	438
20110422_0066	0	428
20110422_0066	0	440
20110422_0073	0	488
20110422_0073	0	473
20110422_0082	0	427
20110422_0082	0	419
20110422_0090	0	416
20110422_0090	0	397
20110422_0090	0	414
20110422_0090	0	411
20110422_0106	0	362
20110423_0004	0	380
20110423_0004	0	387
20110423_0004	0	379
20110423_0005	0	383
20110423_0005	0	372
20110423_0010	0	421
20110423_0031	0	498
20110423_0031	0	486
20110423_0031	0	496
20110423_0031	0	488
20110423_0038	0	571
20110423_0038	0	570
20110423_0044	0	594
20110423_0044	0	574
20110423_0044	0	593
20110423_0044	0	572
20110423_0081	0	471
20110423_0081	0	458
20110423_0081	0	464
20110423_0086	0	392
20110423_0086	0	404
20110423_0086	0	383
20110423_0086	0	405
20110423_0086	0	402
20110423_0088	0	497
20110423_0088	0	515
20110423_0088	0	495
20110423_0088	0	513
20110423_0092	0	416
20110423_0092	0	431
20110423_0092	0	419
20110423_0094	0	408
20110423_0094	0	403
20110423_0094	0	387
20110423_0094	0	400
20110423_0094	0	397
20110423_0123	0	431
20110423_0123	0	437
20110423_0160	0	333
20110423_0160	0	357
20110423_0160	0	346
20110423_0160	0	356
20110423_0160	0	340
20110423_0161	0	524
20110423_0161	0	528
20110423_0170	0	470
20110423_0170	0	473
20110423_0170	0	465
20110423_0201	0	453
20110423_0201	0	448
20110423_0201	0	455
20110423_0204	0	376
20110423_0204	0	372
20110423_0204	0	361
20110423_0204	0	370
20110423_0242	0	420
20110423_0242	0	421
20110423_0255	0	557
20110423_0261	0	538
20110423_0261	0	534
20110423_0261	0	549
20110423_0269	0	441
20110423_0269	0	444
20110423_0269	0	442
20110423_0277	0	497
20110423_0285	0	807
20110423_0285	0	784
20110423_0285	0	794
20110423_0285	0	799
20110423_0285	0	790
20110423_0285	0	801
20110423_0285	0	806
20110423_0285	0	796
20110423_0286	0	437
20110423_0286	0	435
20110423_0286	0	447
