10	300
20110318_0004	0	789
20110318_0004	0	779
20110318_0004	0	797
20110318_0005	0	694
20110318_0024	0	627
20110318_0024	0	626
20110318_0024	0	637
20110318_0024	0	642
20110318_0040	0	660
20110318_0040	0	671
20110318_0040	0	659
20110319_0022	0	737
20110319_0022	0	742
20110319_0022	0	731
20110319_0022	0	739
20110319_0022	0	753
20110319_0022	0	752
20110319_0027	0	788
20110319_0027	0	810
20110319_0027	0	812
20110319_0037	0	691
20110319_0087	0	861
20110319_0087	0	868
20110319_0087	0	870
20110319_0087	0	851
20110319_0087	0	848
20110319_0087	0	863
20110319_0091	0	706
20110319_0091	0	716
20110319_0091	0	708
20110319_0100	0	674
20110319_0100	0	672
20110319_0122	0	712
20110319_0122	0	727
20110319_0122	0	728
20110319_0176	0	706
20110319_0177	0	662
20110319_0181	0	769
20110319_0181	0	785
20110319_0189	0	718
20110319_0190	0	712
20110319_0190	0	733
20110319_0194	0	778
20110319_0194	0	784
20110319_0207	0	746
20110319_0207	0	759
20110319_0218	0	764
20110319_0218	0	774
20110319_0218	0	762
20110319_0226	0	885
20110319_0226	0	890
20110319_0226	0	883
20110319_0226	0	896
20110319_0226	0	889
20110319_0226	0	886
20110319_0227	0	827
20110319_0227	0	805
20110319_0227	0	813
20110319_0228	0	779
20110319_0228	0	778
20110320_0010	0	733
20110320_0010	0	748
20110320_0010	0	751
20110320_0010	0	738
20110320_0027	0	819
20110320_0027	0	813
20110320_0027	0	827
20110320_0027	0	814
20110320_0027	0	828
20110320_0027	0	816
20110320_0027	0	833
20110320_0043	0	817
20110320_0064	0	872
20110320_0064	0	878
20110320_0064	0	887
20110320_0065	0	1115
20110320_0067	0	1011
20110320_0067	0	1021
20110320_0067	0	1017
20110320_0067	0	1015
20110320_0098	0	931
20110320_0098	0	941
20110320_0098	0	933
20110320_0098	0	939
20110320_0117	0	973
20110320_0117	0	989
20110320_0134	0	902
20110320_0134	0	898
20110320_0134	0	901
20110320_0135	0	920
20110320_0135	0	934
20110320_0135	0	924
20110320_0135	0	916
20110320_0156	0	975
20110320_0161	0	898
20110320_0161	0	915
20110320_0161	0	916
20110320_0167	0	892
20110320_0167	0	884
20110320_0167	0	893
20110320_0167	0	902
20110320_0167	0	903
20110320_0169	0	959
20110320_0169	0	949
20110320_0169	0	944
20110320_0169	0	943
20110320_0173	0	844
20110320_0178	0	983
20110320_0178	0	986
20110320_0178	0	989
20110320_0178	0	987
20110320_0187	0	953
20110320_0187	0	946
20110320_0187	0	954
20110320_0187	0	932
20110320_0187	0	948
20110320_0187	0	949
20110320_0187	0	942
20110320_0187	0	933
20110320_0194	0	1115
20110320_0194	0	1105
20110320_0194	0	1106
20110422_0033	0	764
20110422_0033	0	765
20110422_0033	0	773
20110422_0034	0	768
20110422_0034	0	767
20110422_0052	0	692
20110422_0052	0	689
20110422_0052	0	678
20110422_0065	0	1060
20110422_0065	0	1063
20110422_0066	0	712
20110422_0066	0	713
20110422_0066	0	718
20110422_0073	0	860
20110422_0073	0	875
20110422_0073	0	873
20110422_0082	0	811
20110422_0082	0	800
20110422_0082	0	817
20110422_0082	0	808
20110422_0082	0	805
20110422_0082	0	813
20110422_0090	0	769
20110422_0090	0	786
20110422_0106	0	683
20110422_0106	0	680
20110423_0004	0	844
20110423_0004	0	846
20110423_0004	0	860
20110423_0004	0	859
20110423_0005	0	834
20110423_0005	0	823
20110423_0010	0	789
20110423_0031	0	1079
20110423_0031	0	1078
20110423_0038	0	977
20110423_0038	0	971
20110423_0044	0	1225
20110423_0044	0	1222
20110423_0081	0	1002
20110423_0086	0	799
20110423_0086	0	782
20110423_0086	0	797
20110423_0088	0	1151
20110423_0088	0	1154
20110423_0088	0	1166
20110423_0088	0	1167
20110423_0092	0	882
20110423_0092	0	886
20110423_0092	0	876
20110423_0094	0	890
20110423_0094	0	870
20110423_0123	0	833
20110423_0123	0	846
20110423_0123	0	851
20110423_0123	0	832
20110423_0123	0	856
20110423_0123	0	854
20110423_0160	0	716
20110423_0160	0	723
20110423_0160	0	725
20110423_0160	0	714
20110423_0160	0	728
20110423_0160	0	718
20110423_0161	0	1105
20110423_0168	0	750
20110423_0168	0	728
20110423_0168	0	746
20110423_0168	0	731
20110423_0170	0	831
20110423_0170	0	819
20110423_0170	0	836
20110423_0170	0	833
20110423_0170	0	835
20110423_0201	0	903
20110423_0201	0	911
20110423_0201	0	910
20110423_0201	0	917
20110423_0204	0	783
20110423_0204	0	769
20110423_0204	0	784
20110423_0204	0	781
20110423_0204	0	777
20110423_0242	0	763
20110423_0255	0	1215
20110423_0255	0	1209
20110423_0255	0	1204
20110423_0255	0	1211
20110423_0255	0	1199
20110423_0261	0	1054
20110423_0261	0	1044
20110423_0261	0	1041
20110423_0269	0	866
20110423_0277	0	968
20110423_0285	0	1313
20110423_0285	0	1295
20110423_0285	0	1307
