10	300
20110318_0004	0	223
20110318_0004	0	224
20110318_0004	0	219
20110318_0004	0	225
20110318_0005	0	242
20110318_0005	0	238
20110318_0005	0	226
20110318_0005	0	228
20110318_0024	0	267
20110318_0024	0	257
20110318_0040	0	227
20110318_0040	0	221
20110319_0022	0	200
20110319_0022	0	196
20110319_0022	0	206
20110319_0022	0	198
20110319_0027	0	303
20110319_0087	0	264
20110319_0087	0	268
20110319_0087	0	261
20110319_0091	0	260
20110319_0091	0	252
20110319_0100	0	233
20110319_0100	0	241
20110319_0122	0	202
20110319_0122	0	224
20110319_0122	0	203
20110319_0176	0	230
20110319_0176	0	246
20110319_0176	0	241
20110319_0177	0	263
20110319_0177	0	268
20110319_0177	0	253
20110319_0181	0	266
20110319_0189	0	250
20110319_0189	0	254
20110319_0189	0	244
20110319_0190	0	257
20110319_0190	0	248
20110319_0190	0	244
20110319_0190	0	240
20110319_0194	0	244
20110319_0194	0	234
20110319_0194	0	241
20110319_0194	0	236
20110319_0194	0	243
20110319_0194	0	230
20110319_0207	0	254
20110319_0207	0	271
20110319_0207	0	272
20110319_0218	0	245
20110319_0218	0	263
20110319_0218	0	257
20110319_0218	0	262
20110319_0226	0	353
20110319_0226	0	340
20110319_0226	0	348
20110319_0226	0	341
20110319_0226	0	354
20110319_0227	0	296
20110319_0227	0	301
20110319_0227	0	281
20110319_0227	0	302
20110319_0227	0	287
20110319_0227	0	299
20110319_0227	0	298
20110319_0228	0	257
20110319_0228	0	259
20110320_0008	0	277
20110320_0008	0	269
20110320_0008	0	276
20110320_0008	0	279
20110320_0008	0	273
20110320_0010	0	217
20110320_0010	0	220
20110320_0010	0	224
20110320_0010	0	215
20110320_0010	0	232
20110320_0027	0	319
20110320_0027	0	322
20110320_0043	0	241
20110320_0043	0	256
20110320_0043	0	253
20110320_0043	0	254
20110320_0043	0	259
20110320_0064	0	280
20110320_0064	0	282
20110320_0064	0	270
20110320_0064	0	279
20110320_0065	0	382
20110320_0098	0	251
20110320_0098	0	241
20110320_0117	0	313
20110320_0117	0	310
20110320_0117	0	303
20110320_0117	0	302
20110320_0134	0	223
20110320_0134	0	219
20110320_0134	0	224
20110320_0138	0	245
20110320_0138	0	233
20110320_0138	0	244
20110320_0138	0	235
20110320_0156	0	263
20110320_0156	0	247
20110320_0156	0	252
20110320_0156	0	255
20110320_0161	0	253
20110320_0161	0	254
20110320_0161	0	252
20110320_0161	0	243
20110320_0167	0	220
20110320_0167	0	206
20110320_0167	0	215
20110320_0167	0	217
20110320_0169	0	263
20110320_0169	0	269
20110320_0169	0	258
20110320_0169	0	250
20110320_0173	0	224
20110320_0173	0	239
20110320_0173	0	231
20110320_0173	0	222
20110320_0178	0	244
20110320_0178	0	257
20110320_0178	0	254
20110320_0187	0	256
20110320_0187	0	252
20110320_0187	0	249
20110320_0187	0	240
20110320_0187	0	255
20110320_0194	0	302
20110320_0194	0	297
20110320_0194	0	310
20110320_0194	0	308
20110320_0194	0	316
20110422_0033	0	233
20110422_0033	0	222
20110422_0033	0	215
20110422_0034	0	223
20110422_0034	0	238
20110422_0034	0	218
20110422_0052	0	239
20110422_0052	0	246
20110422_0052	0	234
20110422_0052	0	224
20110422_0065	0	326
20110422_0065	0	328
20110422_0065	0	334
20110422_0066	0	271
20110422_0066	0	258
20110422_0073	0	286
20110422_0073	0	282
20110422_0082	0	248
20110422_0082	0	254
20110422_0090	0	262
20110422_0090	0	251
20110422_0090	0	255
20110422_0090	0	248
20110422_0090	0	258
20110422_0106	0	228
20110422_0106	0	231
20110423_0004	0	214
20110423_0004	0	215
20110423_0004	0	206
20110423_0004	0	205
20110423_0004	0	218
20110423_0004	0	221
20110423_0004	0	225
20110423_0005	0	213
20110423_0005	0	210
20110423_0005	0	202
20110423_0010	0	270
20110423_0010	0	257
20110423_0010	0	265
20110423_0031	0	244
20110423_0031	0	237
20110423_0031	0	234
20110423_0031	0	235
20110423_0038	0	352
20110423_0038	0	361
20110423_0044	0	410
20110423_0044	0	389
20110423_0044	0	404
20110423_0081	0	263
20110423_0081	0	264
20110423_0081	0	254
20110423_0086	0	218
20110423_0086	0	226
20110423_0086	0	230
20110423_0088	0	274
20110423_0088	0	273
20110423_0092	0	239
20110423_0092	0	243
20110423_0094	0	222
20110423_0094	0	231
20110423_0123	0	253
20110423_0123	0	235
20110423_0123	0	258
20110423_0160	0	229
20110423_0160	0	213
20110423_0160	0	206
20110423_0161	0	300
20110423_0168	0	190
20110423_0168	0	197
20110423_0168	0	186
20110423_0170	0	299
20110423_0170	0	307
20110423_0170	0	302
20110423_0201	0	254
20110423_0201	0	251
20110423_0201	0	255
20110423_0201	0	250
20110423_0201	0	247
20110423_0204	0	211
20110423_0204	0	207
20110423_0204	0	198
20110423_0204	0	199
20110423_0242	0	254
20110423_0242	0	238
20110423_0255	0	328
20110423_0255	0	329
20110423_0255	0	324
20110423_0255	0	331
20110423_0255	0	334
20110423_0261	0	349
20110423_0261	0	335
20110423_0261	0	346
20110423_0261	0	348
20110423_0261	0	342
20110423_0269	0	257
20110423_0269	0	240
20110423_0277	0	327
20110423_0277	0	319
20110423_0277	0	322
20110423_0285	0	516
20110423_0285	0	508
20110423_0285	0	511
20110423_0286	0	288
20110423_0286	0	304
20110423_0292	0	277
20110423_0292	0	287
20110423_0326	0	186
20110423_0326	0	183
20110423_0328	0	256
20110423_0328	0	260
20110423_0330	0	272
20110423_0330	0	265
20110423_0356	0	215
20110423_0360	0	367
20110423_0360	0	366
20110423_0360	0	358
20110423_0360	0	375
20110423_0369	0	281
20110423_0369	0	287
20110423_0369	0	268
20110423_0369	0	282
20110423_0369	0	276
20110424_0014	0	232
20110424_0014	0	237
20110424_0019	0	279
20110424_0019	0	278
20110424_0019	0	280
20110424_0034	0	466
20110424_0034	0	480
20110424_0034	0	472
20110424_0039	0	403
20110424_0075	0	299
20110424_0075	0	303
